id,wmo_id,cycle_number,profile_direction,data_mode,profile_time,latitude,longitude,position_qc,time_qc,profile_pres_qc,profile_temp_qc,profile_psal_qc,config_mission_number,n_levels,metadata,created_at
2,1901935,54,A,A,2023-04-26 08:45:49,-50.4398,31.1485,1,1,,,,,,{'source_csv': 'C:\\Users\\ASUS\\argo_complete_database_final\\csv_by_float\\float_1901935.csv'},2026-04-16 07:04:40.995840
3,1902064,224,A,A,2023-01-06 12:21:16,-50.89171,30.75962,1,1,,,,,,{'source_csv': 'C:\\Users\\ASUS\\argo_complete_database_final\\csv_by_float\\float_1902064.csv'},2026-04-16 07:05:39.595934
4,1902095,11,A,A,2023-06-02 18:32:59,-45.4835,-36.2229,1,1,,,,,,{'source_csv': 'C:\\Users\\ASUS\\argo_complete_database_final\\csv_by_float\\float_1902095.csv'},2026-04-16 07:06:31.556131
5,1902095,12,A,A,2023-06-12 15:11:28,-43.9479,-36.8441,1,1,,,,,,{'source_csv': 'C:\\Users\\ASUS\\argo_complete_database_final\\csv_by_float\\float_1902095.csv'},2026-04-16 07:06:31.556131
6,1902095,13,A,A,2023-06-22 11:40:21,-43.3041,-37.8149,1,1,,,,,,{'source_csv': 'C:\\Users\\ASUS\\argo_complete_database_final\\csv_by_float\\float_1902095.csv'},2026-04-16 07:06:31.556131
8,6904066,83,A,D,2023-06-01 07:49:20,-53.1198683333333,38.5359933333333,1,1,,,,,,{'source_csv': 'C:\\Users\\ASUS\\argo_complete_database_final\\csv_by_float\\float_6904066.csv'},2026-04-16 07:22:19.270738
9,6904066,84,A,D,2023-06-11 12:46:20,-52.77049,38.433075,1,1,,,,,,{'source_csv': 'C:\\Users\\ASUS\\argo_complete_database_final\\csv_by_float\\float_6904066.csv'},2026-04-16 07:22:19.270738
10,6904066,85,A,D,2023-06-21 17:44:20,-53.00766,38.7579983333333,1,1,,,,,,{'source_csv': 'C:\\Users\\ASUS\\argo_complete_database_final\\csv_by_float\\float_6904066.csv'},2026-04-16 07:22:19.270738
